source_station,target_station,weight,training_abs_correlation,distance_weight,distance_km,mutual_training_days,selected_directed,symmetrized_support
ALBH,ARLI,0.06173286,0.67425156,0.59187001,102.418,3549,0,1
ALBH,BAMF,0.04362912,0.61595386,0.00000000,,3639,0,1
ALBH,CLRS,0.06536017,0.65697527,0.79732949,67.303,3630,0,1
ALBH,NANO,0.06260897,0.70141810,0.54747730,109.767,3639,1,1
ALBH,NTKA,0.04724297,0.66697401,0.00000000,,3626,0,1
ALBH,P401,0.06714835,0.73358840,0.64322656,93.942,3633,1,1
ALBH,P402,0.06636733,0.71909511,0.65362728,92.219,3636,1,1
ALBH,P437,0.06686234,0.71680623,0.68145919,87.581,3636,1,1
ALBH,P439,0.07418977,0.76143241,0.85792613,55.360,3636,1,1
ALBH,P698,0.03529617,0.49830964,0.00000000,,3639,0,1
ALBH,PGC5,0.07264720,0.70592600,0.95911121,28.896,3638,1,1
ALBH,PTRF,0.06265356,0.62431479,0.78067535,70.370,3609,0,1
ALBH,SC04,0.06433654,0.63224500,0.82816565,61.407,3619,0,1
ALBH,SEDR,0.06432350,0.69448656,0.64088869,94.329,3639,1,1
ALBH,UCLU,0.05115877,0.72225708,0.00000000,,3626,1,1
ARLI,ALBH,0.12189350,0.67425156,0.59187001,102.418,3549,1,1
ARLI,P398,0.09676383,0.69186389,0.00000000,,3558,1,1
ARLI,P401,0.09615829,0.68753421,0.00000000,,3552,1,1
ARLI,P414,0.09426604,0.67400455,0.00000000,,3546,1,1
ARLI,P418,0.09400719,0.67215383,0.00000000,,3558,1,1
ARLI,P420,0.09526391,0.68113941,0.00000000,,3559,1,1
ARLI,UCLU,0.09398198,0.67197359,0.00000000,,3544,1,1
ARLI,ZSE1,0.12118568,0.66167456,0.61441821,98.699,3455,1,1
BAMF,ALBH,0.08682024,0.61595386,0.00000000,,3639,1,1
BAMF,NANO,0.11426771,0.59217787,0.65551317,91.906,3648,1,1
BAMF,NTKA,0.10211401,0.59336591,0.39327252,136.620,3635,1,1
BAMF,P398,0.08550151,0.60659802,0.00000000,,3648,1,1
BAMF,P401,0.11615681,0.63927114,0.55444062,108.609,3642,1,1
BAMF,P402,0.08295975,0.58856523,0.00000000,,3645,1,1
BAMF,P439,0.08652928,0.61388958,0.00000000,,3645,1,1
BAMF,UCLU,0.13771412,0.65970385,0.95196331,31.378,3634,1,1
BCOV,NTKA,0.12572542,0.61899471,0.56371439,107.071,3632,1,1
BCOV,P367,0.09514394,0.61062914,0.00000000,,3632,1,1
BCOV,P398,0.09692369,0.62205148,0.00000000,,3641,1,1
BCOV,P401,0.09897962,0.63524634,0.00000000,,3635,1,1
BCOV,P402,0.09318306,0.59804434,0.00000000,,3638,1,1
BCOV,P414,0.09415078,0.60425508,0.00000000,,3629,1,1
BCOV,P420,0.09434359,0.60549253,0.00000000,,3642,1,1
BCOV,P425,0.09379923,0.60199887,0.00000000,,3641,1,1
CABL,P062,0.08002057,0.52969962,0.00000000,,3588,1,1
CABL,P364,0.13096745,0.54917473,0.95331031,30.924,3547,1,1
CABL,P365,0.13030839,0.59643698,0.79843527,67.097,3587,1,1
CABL,P412,0.08813471,0.58341151,0.00000000,,3584,1,1
CABL,P414,0.07851578,0.51973867,0.00000000,,3575,1,1
CABL,P420,0.07845121,0.51931119,0.00000000,,3589,1,1
CABL,P427,0.08375505,0.55442023,0.00000000,,3588,1,1
CABL,P732,0.12842311,0.61287993,0.71166730,82.480,3536,1,1
CLRS,ALBH,0.10963375,0.65697527,0.79732949,67.303,3630,1,1
CLRS,P398,0.07687397,0.64702326,0.00000000,,3639,1,1
CLRS,P401,0.10128392,0.65659851,0.58762622,103.118,3633,1,1
CLRS,P439,0.10408089,0.65448922,0.66457766,90.400,3636,1,1
CLRS,PGC5,0.11039865,0.64012909,0.86718154,53.387,3638,1,1
CLRS,PTAL,0.11608402,0.71980208,0.77171856,71.991,3641,1,1
CLRS,SC04,0.11691688,0.66863495,0.94624949,33.241,3619,1,1
CLRS,UCLU,0.10631227,0.70037484,0.58326310,103.838,3625,1,1
CORV,P366,0.08801269,0.69095814,0.00000000,,3601,1,1
CORV,P367,0.12911990,0.73516417,0.83553892,59.946,3639,1,1
