station_index,station_id,latitude_deg,longitude_deg,observed_days,coverage_fraction
0,ALBH,48.389781,-123.487470,5447,0.994160
1,ARLI,48.174067,-122.141860,5316,0.970250
2,BAMF,48.835329,-125.135105,5464,0.997262
3,BCOV,50.544281,-126.842642,5460,0.996532
4,CABL,42.836099,-124.563346,5387,0.983209
5,CLRS,48.820304,-124.130885,5450,0.994707
6,CORV,44.585535,-123.304605,5466,0.997627
7,CPXX,46.840085,-122.256519,5441,0.993064
8,DDSN,43.118791,-123.244242,5437,0.992334
9,ENUM,47.206207,-121.955584,5343,0.975178
10,KTBW,47.547320,-122.795418,5342,0.974995
11,NANO,49.294810,-124.086479,5458,0.996167
12,NTKA,49.592363,-126.616611,5451,0.994890
13,OBSR,46.899798,-121.815366,5399,0.985399
14,P058,40.876306,-124.075370,5457,0.995985
15,P062,43.112387,-121.090714,5469,0.998175
16,P154,41.807083,-123.360050,5424,0.989962
17,P155,41.272435,-123.188786,5430,0.991057
18,P158,40.422490,-124.107208,5478,0.999817
19,P160,40.551252,-124.133271,5421,0.989414
20,P161,40.637363,-124.213086,5427,0.990509
21,P163,40.219571,-124.057289,5469,0.998175
22,P164,40.119256,-123.693339,5397,0.985034
23,P167,40.543704,-123.880177,5435,0.991969
24,P168,40.668637,-123.881460,5301,0.967512
25,P169,40.791144,-123.967652,5467,0.997810
26,P170,40.880232,-123.863281,5371,0.980288
27,P324,40.256838,-123.655737,5346,0.975725
28,P326,40.575314,-123.698930,5468,0.997992
29,P327,40.478860,-123.573064,5467,0.997810
30,P332,40.546650,-123.174504,5396,0.984851
31,P345,40.271234,-122.270806,5386,0.983026
32,P349,40.731085,-122.319351,5413,0.987954
33,P362,42.209104,-124.225788,5447,0.994160
34,P364,43.090328,-124.409290,5407,0.986859
35,P365,43.395518,-124.253483,5451,0.994890
36,P366,43.614311,-123.979594,5415,0.988319
37,P367,44.585246,-124.061571,5458,0.996167
38,P370,42.190987,-122.656371,5465,0.997445
39,P374,44.381926,-123.590640,5383,0.982479
40,P375,44.689255,-123.426987,5466,0.997627
41,P376,44.941203,-123.102266,5439,0.992699
42,P377,44.052119,-122.887058,5445,0.993794
43,P380,42.259670,-121.779697,5466,0.997627
44,P382,43.177057,-121.769574,5449,0.994525
45,P383,44.342185,-122.217220,5338,0.974265
46,P385,44.434848,-121.945834,5463,0.997080
47,P387,44.296756,-121.574477,5449,0.994525
48,P395,45.022279,-123.857527,5451,0.994890
49,P397,46.421619,-123.799161,5469,0.998175
50,P398,46.925785,-123.916145,5468,0.997992
51,P401,47.937188,-124.557020,5442,0.993247
52,P402,47.766221,-124.305897,5461,0.996715
53,P404,45.158534,-123.390328,5459,0.996350
54,P406,45.190372,-123.152257,5466,0.997627
55,P407,45.954649,-123.931006,5366,0.979376
56,P409,45.851294,-123.239477,4946,0.902719
57,P412,45.221106,-122.589101,5464,0.997262
58,P414,45.834869,-122.692837,5456,0.995802
59,P417,46.574738,-123.297930,5450,0.994707
60,P418,47.236645,-123.407813,5468,0.997992
61,P420,46.588602,-122.866332,5468,0.997992
62,P421,46.531856,-122.429229,5445,0.993794
63,P425,46.452694,-122.845399,5466,0.997627
64,P427,45.430179,-122.340631,5469,0.998175
65,P429,45.676128,-121.877360,5466,0.997627
66,P434,47.740202,-121.075609,5443,0.993429
67,P435,48.059549,-123.503279,5414,0.988137
68,P437,48.001809,-122.459158,5462,0.996897
69,P439,48.708193,-122.909303,5445,0.993794
70,P446,46.115662,-122.892788,5464,0.997262
71,P696,46.196881,-122.151636,5451,0.994890
72,P698,46.173466,-122.160611,5354,0.977186
73,P700,46.178135,-122.217366,5334,0.973535
74,P732,43.392499,-123.891370,5416,0.988502
75,P733,42.442016,-124.413297,5456,0.995802
76,P734,42.076635,-124.293257,5469,0.998175
77,P784,41.830816,-122.420456,5437,0.992334
78,PCOL,47.172057,-122.570806,5443,0.993429
79,PGC5,48.648533,-123.451128,5460,0.996532
80,PSPT,42.754845,-122.489506,5178,0.945063
81,PTAL,49.256329,-124.860956,5461,0.996715
82,PTRF,48.544268,-124.413059,5387,0.983209
83,QUAD,50.132495,-125.330831,5450,0.994707
84,REDM,44.259768,-121.147880,5466,0.997627
85,SC04,48.923164,-123.704129,5434,0.991787
86,SEDR,48.521558,-122.223848,5451,0.994890
87,TPW2,46.207373,-123.768364,5002,0.912940
88,UCLU,48.925638,-125.541641,5444,0.993612
89,ZSE1,47.286994,-122.188372,5311,0.969337
